date,volume,open,close,high,low,adjclose
6/25/18,22490900,404.6900024,384.480011,405.9899902,378.75,384.480011
6/26/18,15191200,393.2799988,399.3900146,404.7799988,389.0499878,399.3900146
6/27/18,16541400,407.5599976,390.3900146,411.5899963,390,390.3900146
6/28/18,12219900,395,395.4200134,396.8999939,387.1000061,395.4200134
6/29/18,9252500,399.1900024,391.4299927,401.3299866,390.5499878,391.4299927
7/2/18,8142500,385.4500122,398.1799927,398.3800049,380,398.1799927
7/3/18,5280300,399.4899902,390.519989,399.980011,389.5,390.519989
7/5/18,8448900,393.7999878,398.3900146,399.2399902,390.8599854,398.3900146
7/6/18,8629600,397.4500122,408.25,408.6499939,395.519989,408.25
7/9/18,11127500,415.9500122,418.9700012,419.1199951,411.1000061,418.9700012
7/10/18,9382900,417.2399902,415.6300049,419.4400024,413.0799866,415.6300049
7/11/18,9713900,411.3399963,418.6499939,419.769989,410.6000061,418.6499939
7/12/18,12743300,415.1600037,413.5,416.7900085,407.7999878,413.5
7/13/18,15719000,409.1900024,395.7999878,410,395.0799866,395.7999878
7/16/18,22960000,398.980011,400.480011,403.3599854,391.75,400.480011
7/17/18,58410400,346.9500122,379.480011,385,344,379.480011
7/18/18,21746300,381.2399902,375.1300049,383.1300049,372.3599854,375.1300049
7/19/18,16878700,371.0599976,364.230011,375.75,363,364.230011
7/20/18,15096700,364.9200134,361.0499878,370.5,360.1400146,361.0499878
7/23/18,11505200,359.1499939,362.6600037,363.8999939,353.6000061,362.6600037
7/24/18,12851500,366.9400024,357.3200073,367.3999939,354.5599976,357.3200073
7/25/18,8467800,357.5700073,362.8699951,363.2799988,355.6499939,362.8699951
7/26/18,6993700,358.1900024,363.0899963,365.5400085,356.6300049,363.0899963
7/27/18,8949500,366.8500061,355.2099915,367,351.6499939,355.2099915
7/30/18,18260700,351.9299927,334.9599915,352.0299988,334.019989,334.9599915
7/31/18,14085400,331.5100098,337.4500122,342.5,328,337.4500122
8/1/18,7790500,335.8699951,338.3800049,344.4100037,334.019989,338.3800049
8/2/18,7131300,337.230011,344.5,345,334.7099915,344.5
8/3/18,8848400,347.75,343.0899963,347.8599854,338.480011,343.0899963
